name,year_start,year_end,birth_date,college,player_name_clean,height_m,weight_kg,age_at_debut,age_at_last_season,position_all,position_main,BMI,body_fat_pct_est,fat_mass_kg,lean_mass_kg
Chuck Gardner,1968,1968,1944-09-30,University of Colorado,Chuck Gardner,2.0,93.0,24,24,F,F,23.2,17.2,16.0,77.0
Earl Gardner,1949,1949,1923-09-18,DePauw University,Earl Gardner,1.9,88.5,26,26,F,F,24.5,19.2,17.0,71.5
Kenneth Gardner,1976,1976,1949-09-27,University of Utah,Kenneth Gardner,2.0,93.0,27,27,F,F,23.2,17.8,16.6,76.4
Thomas Gardner,2008,2009,1985-02-08,University of Missouri,Thomas Gardner,2.0,102.1,23,24,G,G,25.5,19.9,20.3,81.8
Vern Gardner,1950,1952,1925-05-14,University of Utah,Vern Gardner,2.0,90.7,25,27,F/C,F,22.7,17.2,15.6,75.1
Jack Garfinkel,1947,1949,1918-06-13,St. John's University,Jack Garfinkel,1.8,86.2,29,31,G,G,26.6,22.9,19.7,66.5
Patricio Garino,2017,2017,1993-05-17,George Washington University,Patricio Garino,2.0,95.3,24,24,G/F,G,23.8,17.9,17.1,78.2
Gary Garland,1980,1980,1957-10-12,DePaul University,Gary Garland,1.9,81.6,23,23,G,G,22.6,16.2,13.2,68.4
Winston Garland,1988,1995,1964-12-19,Missouri State University,Winston Garland,1.9,77.1,24,31,G,G,21.4,16.6,12.8,64.3
Dick Garmaker,1956,1961,1932-10-29,University of Minnesota,Dick Garmaker,1.9,90.7,24,29,G/F,G,25.1,20.6,18.7,72.0
Bill Garner,1968,1968,1940-06-17,University of Portland,Bill Garner,2.1,99.8,28,28,C,C,22.6,17.4,17.4,82.4
Chris Garner,1998,2001,1975-02-02,University of Memphis,Chris Garner,1.8,70.8,23,26,G,G,21.9,16.1,11.4,59.4
Bill Garnett,1983,1986,1960-04-22,University of Wyoming,Bill Garnett,2.1,102.1,23,26,F,F,23.2,17.6,18.0,84.1
Kevin Garnett,1996,2016,1976-05-19,Unknown,Kevin Garnett,2.1,108.9,20,40,F/C,F,24.7,22.6,24.6,84.3
Marlon Garnett,1999,1999,1975-07-03,Santa Clara University,Marlon Garnett,1.9,84.4,24,24,G,G,23.4,17.4,14.7,69.7
Calvin Garrett,1981,1984,1956-07-11,Oral Roberts University,Calvin Garrett,2.0,86.2,25,28,F,F,21.6,16.2,14.0,72.2
Dean Garrett,1997,2002,1966-11-27,Indiana University,Dean Garrett,2.1,102.1,31,36,C,C,23.2,19.9,20.3,81.8
Diante Garrett,2013,2014,1988-11-03,Iowa State University,Diante Garrett,1.9,86.2,25,26,G,G,23.9,18.5,15.9,70.3
Dick Garrett,1970,1974,1947-01-31,Southern Illinois University,Dick Garrett,1.9,83.9,23,27,G,G,23.2,17.8,14.9,69.0
Rowland Garrett,1973,1977,1950-07-16,Florida State University,Rowland Garrett,2.0,95.3,23,27,F,F,23.8,18.6,17.7,77.6
Tom Garrick,1989,1992,1966-07-07,University of Rhode Island,Tom Garrick,1.9,83.9,23,26,G,G,23.2,17.6,14.8,69.1
John Garris,1984,1984,1959-06-06,Boston College,John Garris,2.0,93.0,25,25,F,F,23.2,17.4,16.2,76.8
Kiwane Garris,1998,2000,1974-09-24,University of Illinois at Urbana-Champaign,Kiwane Garris,1.9,83.0,24,26,G,G,23.0,17.4,14.4,68.6
Pat Garrity,1999,2008,1976-08-23,University of Notre Dame,Pat Garrity,2.1,108.0,23,32,F,F,24.5,20.6,22.2,85.8
Jim Garvin,1974,1974,1950-02-05,Boston University,Jim Garvin,2.0,90.7,24,24,F,F,22.7,16.6,15.1,75.6
Marc Gasol,2009,2018,1985-01-29,Unknown,Marc Gasol,2.2,115.7,24,33,C,C,23.9,20.1,23.3,92.4
Pau Gasol,2002,2018,1980-07-06,Unknown,Pau Gasol,2.1,113.4,22,38,F/C,F,25.7,23.4,26.5,86.9
Frank Gates,1950,1950,1920-04-12,Sam Houston State University,Frank Gates,1.8,72.6,30,30,G,G,22.4,17.6,12.8,59.8
Chris Gatling,1992,2002,1967-09-03,Old Dominion University,Chris Gatling,2.1,99.8,25,35,F/C,F,22.6,19.0,19.0,80.8
Kenny Gattison,1987,1996,1964-05-23,Old Dominion University,Kenny Gattison,2.0,102.1,23,32,F/C,F,25.5,21.8,22.3,79.8
Rudy Gay,2007,2018,1986-08-17,University of Connecticut,Rudy Gay,2.0,104.3,21,32,F,F,26.1,22.5,23.5,80.8
Ed Gayda,1951,1951,1927-05-11,Washington State University,Ed Gayda,1.9,95.3,24,24,G/F,G,26.4,21.0,20.0,75.3
Andrew Gaze,1994,1999,1965-07-24,Seton Hall University,Andrew Gaze,2.0,93.0,29,34,G,G,23.2,19.5,18.1,74.9
Michael Gbinije,2017,2017,1992-06-05,Syracuse University,Michael Gbinije,2.0,90.7,25,25,G,G,22.7,16.8,15.2,75.5
Reggie Geary,1997,1998,1973-08-31,University of Arizona,Reggie Geary,1.9,84.8,24,25,G,G,23.5,17.8,15.1,69.7
Alonzo Gee,2010,2017,1987-05-29,University of Alabama,Alonzo Gee,2.0,102.1,23,30,G,G,25.5,21.3,21.7,80.4
Matt Geiger,1993,2002,1969-09-10,Georgia Institute of Technology,Matt Geiger,2.1,110.2,24,33,C,C,25.0,21.4,23.6,86.6
Mickael Gelabale,2007,2013,1983-05-22,Unknown,Mickael Gelabale,2.0,97.5,24,30,F,F,24.4,20.0,19.5,78.0
Devean George,2000,2010,1977-08-29,Augsburg College,Devean George,2.0,99.8,23,33,G/F,G,25.0,21.4,21.4,78.4
Jack George,1954,1961,1928-11-13,La Salle University,Jack George,1.9,86.2,26,33,G,G,23.9,20.1,17.3,68.9
Paul George,2011,2018,1990-05-02,"California State University, Fresno",Paul George,2.1,99.8,21,28,F,F,22.6,17.4,17.4,82.4
Tate George,1991,1995,1968-05-29,University of Connecticut,Tate George,2.0,86.2,23,27,G,G,21.6,15.9,13.7,72.5
Marcus Georges-Hunt,2017,2018,1994-03-28,Georgia Institute of Technology,Marcus Georgeshunt,2.0,98.0,23,24,G,G,24.5,18.7,18.3,79.7
Gus Gerard,1975,1981,1953-07-27,University of Virginia,Gus Gerard,2.0,90.7,22,28,F/G,F,22.7,17.5,15.9,74.8
Derrick Gervin,1990,1991,1963-03-28,University of Texas at San Antonio,Derrick Gervin,2.0,90.7,27,28,F,F,22.7,17.5,15.9,74.8
George Gervin,1973,1986,1952-04-27,Eastern Michigan University,George Gervin,2.0,81.6,21,34,G/F,G,20.4,16.1,13.1,68.5
Gorham Getchell,1947,1947,1920-08-14,Temple University,Gorham Getchell,1.9,93.0,27,27,C,C,25.8,21.0,19.5,73.5
John Gianelli,1973,1980,1950-06-10,University of the Pacific,John Gianelli,2.1,99.8,23,30,C/F,C,22.6,17.8,17.8,82.0
Dick Gibbs,1972,1976,1948-12-20,University of Texas at El Paso,Dick Gibbs,2.0,95.3,24,28,F/G,F,23.8,18.8,17.9,77.4
Daniel Gibson,2007,2013,1986-02-27,University of Texas at Austin,Daniel Gibson,1.9,86.2,21,27,G,G,23.9,18.7,16.1,70.1
Dee Gibson,1950,1950,1923-08-25,Western Kentucky University,Dee Gibson,1.8,79.4,27,27,F/G,F,24.5,19.4,15.4,64.0
Hoot Gibson,1950,1950,1921-12-05,Creighton University,Hoot Gibson,2.0,89.8,29,29,F/C,F,22.4,17.3,15.5,74.3
Jonathan Gibson,2017,2017,1987-11-08,New Mexico State University,Jonathan Gibson,1.9,83.9,30,30,G,G,23.2,18.5,15.5,68.4
Mel Gibson,1964,1964,1940-12-30,Western Carolina University,Mel Gibson,1.9,81.6,24,24,G,G,22.6,16.4,13.4,68.2
Mike Gibson,1984,1986,1960-10-27,University of South Carolina Upstate,Mike Gibson,2.1,93.0,24,26,F,F,21.1,15.1,14.0,79.0
Taj Gibson,2010,2018,1985-06-24,University of Southern California,Taj Gibson,2.1,102.1,25,33,F,F,23.2,19.2,19.6,82.5
J.R. Giddens,2009,2010,1985-02-13,University of New Mexico,Jr Giddens,2.0,97.5,24,25,G,G,24.4,18.8,18.3,79.2
Trey Gilder,2010,2010,1985-01-24,Northwestern State University,Trey Gilder,2.1,83.9,25,25,F,F,19.0,12.4,10.4,73.5
Eddie Gill,2001,2009,1978-08-16,Weber State University,Eddie Gill,1.8,86.2,23,31,G,G,26.6,22.9,19.7,66.5
Kendall Gill,1991,2005,1968-05-25,University of Illinois at Urbana-Champaign,Kendall Gill,2.0,88.5,23,37,G,G,22.1,18.8,16.6,71.9
Ben Gillery,1989,1989,1965-09-19,Georgetown University,Ben Gillery,2.1,106.6,24,24,C,C,24.2,18.4,19.6,87.0
Jack Gillespie,1970,1970,1947-10-01,Montana State University,Jack Gillespie,2.0,97.5,23,23,F,F,24.4,18.4,17.9,79.6
Gene Gillette,1947,1947,,Saint Mary's College of California,Gene Gillette,1.9,93.0,,,F,F,25.8,,,
Armen Gilliam,1988,2000,1964-05-28,"University of Nevada, Las Vegas",Armen Gilliam,2.1,104.3,24,36,F/C,F,23.7,20.5,21.4,82.9
Herm Gilliam,1970,1977,1946-05-05,Purdue University,Herm Gilliam,1.9,86.2,24,31,G/F,G,23.9,19.6,16.9,69.3
Artis Gilmore,1972,1988,1949-09-21,Jacksonville University,Artis Gilmore,2.2,108.9,23,39,C,C,22.5,19.8,21.6,87.3
Walt Gilmore,1971,1971,1947-02-27,Fort Valley State University,Walt Gilmore,2.0,102.1,24,24,F,F,25.5,19.9,20.3,81.8
Chuck Gilmur,1947,1951,1922-08-13,University of Washington,Chuck Gilmur,1.9,102.1,25,29,F/C,F,28.3,24.4,24.9,77.2
Manu Ginobili,2003,2018,1977-07-28,Unknown,Manu Ginobili,2.0,93.0,26,41,G,G,23.2,21.1,19.6,73.4
Gordan Giricek,2003,2008,1977-06-20,Unknown,Gordan Giricek,2.0,95.3,26,31,G/F,G,23.8,19.5,18.6,76.7
Jack Givens,1979,1980,1956-09-21,University of Kentucky,Jack Givens,2.0,93.0,23,24,F/G,F,23.2,17.2,16.0,77.0
Mickell Gladness,2012,2012,1986-07-26,Alabama A&M University,Mickell Gladness,2.1,99.8,26,26,C,C,22.6,16.9,16.9,82.9
George Glamack,1949,1949,1918-06-07,University of North Carolina,George Glamack,2.0,102.1,31,31,C/F,C,25.5,21.5,22.0,80.1
Gerald Glass,1991,1996,1967-11-12,University of Mississippi,Gerald Glass,2.0,100.2,24,29,G/F,G,25.0,20.5,20.5,79.7
Mike Glenn,1978,1987,1955-09-10,Southern Illinois University,Mike Glenn,1.9,79.4,23,32,G,G,22.0,17.6,14.0,65.4
Normie Glick,1950,1950,1927-11-10,Loyola Marymount University,Normie Glick,2.0,86.2,23,23,F,F,21.6,15.0,12.9,73.3
Georgi Glouchkov,1986,1986,1960-01-10,Unknown,Georgi Glouchkov,2.0,106.6,26,26,F,F,26.6,21.7,23.1,83.5
Clarence Glover,1972,1972,1947-11-01,Western Kentucky University,Clarence Glover,2.0,95.3,25,25,F,F,23.8,18.1,17.2,78.1
Dion Glover,2000,2005,1978-10-22,Georgia Institute of Technology,Dion Glover,2.0,103.4,22,27,G,G,25.8,21.0,21.7,81.7
Andreas Glyniadakis,2007,2007,1981-08-21,Unknown,Andreas Glyniadakis,2.2,127.0,26,26,C,C,26.2,21.2,26.9,100.1
Mike Gminski,1981,1994,1959-08-03,Duke University,Mike Gminski,2.1,113.4,22,35,C,C,25.7,22.7,25.7,87.7
Rudy Gobert,2014,2018,1992-06-26,Unknown,Rudy Gobert,2.2,111.1,22,26,C,C,23.0,17.4,19.3,91.8
Dan Godfread,1991,1992,1967-06-14,University of Evansville,Dan Godfread,2.1,113.4,24,25,C,C,25.7,20.4,23.1,90.3
Tom Gola,1956,1966,1933-01-13,La Salle University,Tom Gola,2.0,93.0,23,33,G/F,G,23.2,19.2,17.9,75.1
Ben Goldfaden,1947,1947,1913-09-06,George Washington University,Ben Goldfaden,1.9,83.9,34,34,F,F,23.2,19.5,16.4,67.5
Anthony Goldwire,1996,2006,1971-09-06,University of Houston,Anthony Goldwire,1.9,82.6,25,35,G,G,22.9,19.3,15.9,66.7
Ryan Gomes,2006,2014,1982-09-01,Providence College,Ryan Gomes,2.0,113.4,24,32,F,F,28.4,25.2,28.6,84.8
Glen Gondrezick,1978,1983,1955-08-30,"University of Nevada, Las Vegas",Glen Gondrezick,2.0,98.9,23,28,F/G,F,24.7,19.9,19.7,79.2
Grant Gondrezick,1987,1989,1963-01-19,Pepperdine University,Grant Gondrezick,2.0,93.0,24,26,G,G,23.2,17.6,16.4,76.6
Drew Gooden,2003,2016,1981-09-24,University of Kansas,Drew Gooden,2.1,113.4,22,35,F,F,25.7,22.7,25.7,87.7
Gail Goodrich,1966,1979,1943-04-23,"University of California, Los Angeles",Gail Goodrich,1.9,77.1,23,36,G,G,21.4,17.8,13.7,63.4
Steve Goodrich,2001,2002,1976-03-18,Princeton University,Steve Goodrich,2.1,99.8,25,26,F,F,22.6,16.9,16.9,82.9
Archie Goodwin,2014,2017,1994-08-17,University of Kentucky,Archie Goodwin,2.0,90.7,20,23,G,G,22.7,16.3,14.8,75.9
Pop Goodwin,1947,1948,1920-12-22,Unknown,Pop Goodwin,1.9,92.1,27,28,F/C,F,25.5,20.8,19.2,72.9
Aaron Gordon,2015,2018,1995-09-16,University of Arizona,Aaron Gordon,2.1,99.8,20,23,F,F,22.6,16.2,16.2,83.6
Ben Gordon,2005,2015,1983-04-04,University of Connecticut,Ben Gordon,1.9,90.7,22,32,G,G,25.1,21.3,19.3,71.4
Drew Gordon,2015,2015,1990-07-12,University of New Mexico,Drew Gordon,2.1,111.1,25,25,F,F,25.2,19.8,22.0,89.1
Eric Gordon,2009,2018,1988-12-25,Indiana University,Eric Gordon,1.9,97.5,21,30,G,G,27.0,23.1,22.5,75.0
Lancaster Gordon,1985,1988,1962-06-24,University of Louisville,Lancaster Gordon,1.9,83.9,23,26,G,G,23.2,17.6,14.8,69.1
Paul Gordon,1950,1950,1927-04-08,University of Notre Dame,Paul Gordon,1.9,83.9,23,23,F,F,23.2,16.9,14.2,69.7
Marcin Gortat,2008,2018,1984-02-17,Unknown,Marcin Gortat,2.1,108.9,24,34,C/F,C,24.7,21.3,23.2,85.7
Leo Gottlieb,1947,1948,1920-11-28,Unknown,Leo Gottlieb,1.8,81.6,27,28,G,G,25.2,20.5,16.7,64.9
Andrew Goudelock,2012,2016,1988-12-07,College of Charleston,Andrew Goudelock,1.9,90.7,24,28,G,G,25.1,20.4,18.5,72.2
Gerald Govan,1968,1976,1942-01-02,Saint Mary of the Plains College,Gerald Govan,2.1,99.8,26,34,F/C,F,22.6,18.7,18.7,81.1
Bato Govedarica,1954,1954,1928-04-17,DePaul University,Bato Govedarica,1.8,83.9,26,26,G,G,25.9,20.9,17.5,66.4
Joe Graboski,1949,1962,1930-01-15,Unknown,Joe Graboski,2.0,88.5,19,32,F/C,F,22.1,17.7,15.7,72.8
Ricky Grace,1994,1994,1967-08-20,University of Oklahoma,Ricky Grace,1.9,81.6,27,27,G,G,22.6,17.1,14.0,67.6
Calvin Graham,1968,1968,1944-06-07,Gannon University,Calvin Graham,1.9,88.5,24,24,G,G,24.5,18.7,16.5,72.0
Greg Graham,1994,1998,1970-11-26,Indiana University,Greg Graham,1.9,78.9,24,28,G,G,21.9,16.5,13.0,65.9
Joey Graham,2006,2011,1982-06-11,Oklahoma State University,Joey Graham,2.0,102.1,24,29,F,F,25.5,21.1,21.5,80.6
Mal Graham,1968,1969,1945-02-23,New York University,Mal Graham,1.9,83.9,23,24,G,G,23.2,17.2,14.4,69.5
Orlando Graham,1989,1989,1965-05-05,Auburn University at Montgomery,Orlando Graham,2.0,99.8,24,24,F,F,25.0,19.3,19.3,80.5
Paul Graham,1992,1994,1967-11-28,Ohio University,Paul Graham,2.0,90.7,25,27,F/G,F,22.7,17.2,15.6,75.1
Stephen Graham,2006,2011,1982-06-11,Oklahoma State University,Stephen Graham,2.0,97.5,24,29,G,G,24.4,19.7,19.2,78.3
Treveon Graham,2017,2018,1993-10-29,Virginia Commonwealth University,Treveon Graham,2.0,99.8,24,25,G,G,25.0,19.6,19.6,80.2
Jim Grandholm,1991,1991,1960-10-04,University of South Florida,Jim Grandholm,2.1,106.6,31,31,F/C,F,24.2,20.0,21.3,85.3
Ron Grandison,1989,1996,1964-07-09,University of New Orleans,Ron Grandison,2.0,97.5,25,32,F,F,24.4,20.4,19.9,77.6
Danny Granger,2006,2015,1983-04-20,University of New Mexico,Danny Granger,2.1,100.7,23,32,F,F,22.8,18.5,18.6,82.1
Stewart Granger,1984,1987,1961-10-27,Villanova University,Stewart Granger,1.9,86.2,23,26,G,G,23.9,18.5,15.9,70.3
Brian Grant,1995,2006,1972-03-05,Xavier University,Brian Grant,2.1,115.2,23,34,F,F,26.1,22.9,26.4,88.8
Bud Grant,1950,1951,1927-05-20,University of Minnesota,Bud Grant,1.9,88.5,23,24,F,F,24.5,18.7,16.5,72.0
Gary Grant,1989,2001,1965-04-21,University of Michigan,Gary Grant,1.9,83.9,24,36,G,G,23.2,19.9,16.7,67.2
Greg Grant,1990,1996,1966-08-29,Trenton State University,Greg Grant,1.7,63.5,24,30,G,G,22.0,17.1,10.9,52.6
Harvey Grant,1989,1999,1965-07-04,University of Oklahoma,Harvey Grant,2.0,88.5,24,34,F,F,22.1,18.1,16.0,72.5
Horace Grant,1988,2004,1965-07-04,Clemson University,Horace Grant,2.1,97.5,23,39,F/C,F,22.1,19.3,18.8,78.7
Jerami Grant,2015,2018,1994-03-12,Syracuse University,Jerami Grant,2.0,95.3,21,24,F,F,23.8,17.9,17.1,78.2
Jerian Grant,2016,2018,1992-10-09,University of Notre Dame,Jerian Grant,1.9,88.5,24,26,G,G,24.5,19.2,17.0,71.5
Josh Grant,1994,1994,1967-08-07,University of Utah,Josh Grant,2.1,101.2,27,27,F,F,22.9,17.5,17.7,83.5
Paul Grant,1999,2004,1974-01-06,University of Wisconsin,Paul Grant,2.1,111.1,25,30,C,C,25.2,20.9,23.2,87.9
Travis Grant,1973,1976,1950-01-01,Kentucky State University,Travis Grant,2.0,97.5,23,26,F,F,24.4,19.1,18.6,78.9
Don Grate,1950,1950,1923-08-27,Ohio State University,Don Grate,1.9,83.9,27,27,F/G,F,23.2,17.8,14.9,69.0
Butch Graves,1985,1985,1962-01-05,Yale University,Butch Graves,1.9,90.7,23,23,G,G,25.1,19.2,17.4,73.3
Aaron Gray,2008,2014,1984-12-07,University of Pittsburgh,Aaron Gray,2.1,122.5,24,30,C,C,27.8,24.1,29.5,93.0
Devin Gray,1997,2000,1972-05-31,Clemson University,Devin Gray,2.0,108.9,25,28,F,F,27.2,22.9,24.9,84.0
Ed Gray,1998,1999,1975-09-27,University of California,Ed Gray,1.9,95.3,23,24,G,G,26.4,21.0,20.0,75.3
Evric Gray,1997,1997,1969-12-13,"University of Nevada, Las Vegas",Evric Gray,2.0,106.6,28,28,F,F,26.6,22.2,23.7,82.9
Gary Gray,1968,1968,1945-02-23,Oklahoma City University,Gary Gray,1.9,83.9,23,23,G,G,23.2,16.9,14.2,69.7
Leonard Gray,1975,1977,1951-12-19,"California State University, Long Beach",Leonard Gray,2.0,108.9,24,26,F,F,27.2,22.4,24.4,84.5
Stuart Gray,1985,1991,1963-05-27,"University of California, Los Angeles",Stuart Gray,2.1,106.6,22,28,C/F,C,24.2,19.3,20.6,86.0
Sylvester Gray,1989,1989,1967-07-08,University of Memphis,Sylvester Gray,2.0,104.3,22,22,F,F,26.1,20.2,21.1,83.2
Wyndol Gray,1947,1948,1922-03-20,Harvard University,Wyndol Gray,1.9,79.4,25,26,G/F,G,22.0,16.2,12.9,66.5
Jeff Grayer,1989,1998,1965-12-17,Iowa State University,Jeff Grayer,2.0,90.7,24,33,F/G,F,22.7,18.6,16.9,73.8
Bob Greacen,1970,1972,1947-09-15,Rutgers University,Bob Greacen,2.0,93.4,23,25,F,F,23.4,17.6,16.4,77.0
A.C. Green,1986,2001,1963-10-04,Oregon State University,Ac Green,2.1,99.8,23,38,F/C,F,22.6,19.7,19.7,80.1
Danny Green,2010,2018,1987-06-22,University of North Carolina,Danny Green,2.0,97.5,23,31,G/F,G,24.4,20.2,19.7,77.8
Devin Green,2006,2006,1982-10-25,Hampton University,Devin Green,2.0,95.3,24,24,G,G,23.8,17.9,17.1,78.2
Draymond Green,2013,2018,1990-03-04,Michigan State University,Draymond Green,2.0,104.3,23,28,F,F,26.1,21.6,22.5,81.8
Erick Green,2015,2016,1991-05-09,Virginia Polytechnic Institute and State University,Erick Green,1.9,83.9,24,25,G,G,23.2,17.4,14.6,69.3
Gerald Green,2006,2017,1986-01-26,Unknown,Gerald Green,2.0,93.0,20,31,G/F,G,23.2,18.8,17.5,75.5
JaMychal Green,2015,2018,1990-06-21,University of Alabama,Jamychal Green,2.1,103.0,25,28,F,F,23.4,18.3,18.8,84.2
Jeff Green,2008,2018,1986-08-28,Georgetown University,Jeff Green,2.1,106.6,22,32,F,F,24.2,20.2,21.5,85.1
Johnny Green,1960,1973,1933-12-08,Michigan State University,Johnny Green,2.0,90.7,27,40,F/C,F,22.7,20.2,18.3,72.4
Ken Green,1986,1986,1959-09-19,University of Texas-Pan American,Ken Green,2.0,97.5,27,27,F,F,24.4,19.3,18.8,78.7
Kenny Green,1986,1987,1964-10-11,Wake Forest University,Kenny Green,2.0,95.3,22,23,F,F,23.8,17.7,16.9,78.4
Lamar Green,1970,1975,1947-03-22,Morehead State University,Lamar Green,2.0,95.3,23,28,F/C,F,23.8,18.8,17.9,77.4
Litterial Green,1993,1999,1970-03-07,University of Georgia,Litterial Green,1.9,83.9,23,29,G,G,23.2,18.3,15.4,68.5
Luther Green,1970,1973,1946-11-13,Long Island University,Luther Green,2.0,86.2,24,27,F,F,21.6,15.9,13.7,72.5
Mike Green,1974,1980,1951-08-06,Louisiana Tech University,Mike Green,2.1,90.7,23,29,C/F,C,20.6,15.2,13.8,76.9
Rickey Green,1978,1992,1954-08-18,University of Michigan,Rickey Green,1.8,77.1,24,38,G,G,23.8,21.1,16.3,60.8
Sean Green,1992,1994,1970-02-02,Iona College,Sean Green,2.0,95.3,22,24,G/F,G,23.8,17.9,17.1,78.2
Si Green,1957,1966,1933-08-20,Duquesne University,Si Green,1.9,83.9,24,33,G/F,G,23.2,19.2,16.1,67.8
Sidney Green,1984,1993,1961-01-04,"University of Nevada, Las Vegas",Sidney Green,2.1,99.8,23,32,F/C,F,22.6,18.3,18.3,81.5
Steve Green,1976,1979,1953-10-04,Indiana University,Steve Green,2.0,99.8,23,26,F,F,25.0,19.8,19.8,80.0
Taurean Green,2008,2008,1986-11-28,University of Florida,Taurean Green,1.8,80.3,22,22,G,G,24.8,18.6,14.9,65.4
Tommie Green,1979,1979,1956-04-08,Southern University and A&M College,Tommie Green,1.9,83.9,23,23,G,G,23.2,16.9,14.2,69.7
Willie Green,2004,2015,1981-07-28,University of Detroit Mercy,Willie Green,1.9,90.7,23,34,G,G,25.1,21.7,19.7,71.0
Donte Greene,2009,2012,1988-02-21,Syracuse University,Donte Greene,2.1,102.5,21,24,F,F,23.2,17.2,17.6,84.9
Orien Greene,2006,2011,1982-02-04,University of Louisiana at Lafayette,Orien Greene,1.9,94.3,24,29,G,G,26.1,21.8,20.6,73.7
Jerry Greenspan,1964,1965,1941-11-22,University of Maryland,Jerry Greenspan,2.0,88.5,23,24,F,F,22.1,15.8,14.0,74.5
Dave Greenwood,1980,1991,1957-05-27,"University of California, Los Angeles",Dave Greenwood,2.1,100.7,23,34,F/C,F,22.8,19.0,19.1,81.6
Hal Greer,1959,1973,1936-06-26,Marshall University,Hal Greer,1.9,79.4,23,37,G/F,G,22.0,18.7,14.8,64.6
Lynn Greer,2007,2007,1979-10-23,Temple University,Lynn Greer,1.9,79.4,28,28,G,G,22.0,16.6,13.2,66.2
Gary Gregor,1969,1974,1945-08-13,University of South Carolina,Gary Gregor,2.0,102.1,24,29,F/C,F,25.5,21.1,21.5,80.6
Claude Gregory,1986,1988,1958-12-26,University of Wisconsin,Claude Gregory,2.0,93.0,28,30,F,F,23.2,18.5,17.2,75.8
John Greig,1983,1983,1961-04-28,University of Oregon,John Greig,2.0,97.5,22,22,F,F,24.4,18.1,17.6,79.9
Norm Grekin,1954,1954,1930-06-22,La Salle University,Norm Grekin,2.0,81.6,24,24,F,F,20.4,13.8,11.3,70.3
Kevin Grevey,1976,1985,1953-05-12,University of Kentucky,Kevin Grevey,2.0,95.3,23,32,G/F,G,23.8,19.7,18.8,76.5
Dennis Grey,1969,1970,1947-08-26,California Western Uiversity,Dennis Grey,2.0,97.5,22,23,C/F,C,24.4,18.4,17.9,79.6
Adrian Griffin,2000,2008,1974-07-04,Seton Hall University,Adrian Griffin,2.0,98.4,26,34,G/F,G,24.6,21.1,20.8,77.6
Blake Griffin,2011,2018,1989-03-16,University of Oklahoma,Blake Griffin,2.1,113.9,22,29,F,F,25.8,21.4,24.4,89.5
Eddie Griffin,2002,2007,1982-05-30,Seton Hall University,Eddie Griffin,2.1,99.8,20,25,F/C,F,22.6,16.7,16.7,83.1
Greg Griffin,1978,1978,1952-09-06,Idaho State University,Greg Griffin,2.0,86.2,26,26,F,F,21.6,15.7,13.5,72.7
Paul Griffin,1977,1983,1954-01-20,Western Michigan University,Paul Griffin,2.1,93.0,23,29,F/C,F,21.1,15.8,14.7,78.3
Taylor Griffin,2010,2010,1986-04-18,University of Oklahoma,Taylor Griffin,2.0,108.0,24,24,F,F,27.0,21.7,23.4,84.6
Darrell Griffith,1981,1991,1958-06-16,University of Louisville,Darrell Griffith,1.9,86.2,23,33,G,G,23.9,20.1,17.3,68.9
Chuck Grigsby,1955,1955,1928-08-15,University of Dayton,Chuck Grigsby,2.0,86.2,27,27,G,G,21.6,15.9,13.7,72.5
Derek Grimm,1998,1998,1974-08-03,University of Missouri,Derek Grimm,2.1,104.3,24,24,F,F,23.7,17.8,18.6,85.7
Woody Grimshaw,1947,1947,1919-09-24,Brown University,Woody Grimshaw,1.9,83.9,28,28,G,G,23.2,18.1,15.2,68.7
Dick Groat,1953,1953,1930-11-04,Duke University,Dick Groat,1.8,81.6,23,23,G,G,25.2,19.3,15.7,65.9
Bob Gross,1976,1983,1953-08-03,"California State University, Long Beach",Bob Gross,2.0,90.7,23,30,F/G,F,22.7,17.9,16.2,74.5
Mike Grosso,1972,1972,1947-09-07,University of Louisville,Mike Grosso,2.1,104.3,25,25,C,C,23.7,18.0,18.8,85.5
Jerry Grote,1965,1965,1940-12-28,Loyola Marymount University,Jerry Grote,1.9,97.5,25,25,G,G,27.0,22.0,21.4,76.1
Alex Groza,1950,1951,1926-10-07,University of Kentucky,Alex Groza,2.0,98.9,24,25,C,C,24.7,19.2,19.0,79.9
Dick Grubar,1970,1970,1947-07-26,University of North Carolina,Dick Grubar,1.9,83.5,23,23,G,G,23.1,16.8,14.0,69.5
Anthony Grundy,2006,2006,1979-04-15,North Carolina State University,Anthony Grundy,1.9,81.6,27,27,G,G,22.6,17.1,14.0,67.6
Ernie Grunfeld,1978,1986,1955-04-24,University of Tennessee,Ernie Grunfeld,2.0,95.3,23,31,G/F,G,23.8,19.5,18.6,76.7
Gene Guarilia,1960,1963,1937-09-13,George Washington University,Gene Guarilia,2.0,99.8,23,26,F,F,25.0,19.8,19.8,80.0
Petur Gudmundsson,1982,1989,1958-10-30,University of Washington,Petur Gudmundsson,2.2,117.9,24,31,C,C,24.4,20.2,23.8,94.1
Richie Guerin,1957,1970,1932-05-29,Iona College,Richie Guerin,1.9,88.5,25,38,G,G,24.5,21.9,19.4,69.1
Tom Gugliotta,1993,2005,1969-12-19,North Carolina State University,Tom Gugliotta,2.1,108.9,24,36,F,F,24.7,21.7,23.6,85.3
