name,year_start,year_end,birth_date,college,player_name_clean,height_m,weight_kg,age_at_debut,age_at_last_season,position_all,position_main,BMI,body_fat_pct_est,fat_mass_kg,lean_mass_kg
Curtis Borchardt,2004,2005,1980-09-13,Stanford University,Curtis Borchardt,2.1,108.9,24,25,C,C,24.7,19.2,20.9,88.0
Jake Bornheimer,1949,1950,1927-06-29,Muhlenberg College,Jake Bornheimer,2.0,90.7,22,23,F/C,F,22.7,16.3,14.8,75.9
Lazaro Borrell,2000,2000,1972-09-20,Unknown,Lazaro Borrell,2.0,99.8,28,28,F,F,25.0,20.2,20.2,79.6
Ike Borsavage,1951,1951,1924-07-25,Temple University,Ike Borsavage,2.0,99.8,27,27,C/F,C,25.0,20.0,20.0,79.8
Vince Boryla,1950,1954,1927-03-11,University of Denver,Vince Boryla,2.0,95.3,23,27,F,F,23.8,18.6,17.7,77.6
Chris Bosh,2004,2016,1984-03-24,Georgia Institute of Technology,Chris Bosh,2.1,106.6,20,32,F/C,F,24.2,20.2,21.5,85.1
Jim Bostic,1978,1978,1953-01-28,New Mexico State University,Jim Bostic,2.0,102.1,25,25,F,F,25.5,20.1,20.5,81.6
Lawrence Boston,1980,1980,1956-05-18,University of Maryland,Lawrence Boston,2.0,102.1,24,24,F,F,25.5,19.9,20.3,81.8
Tom Boswell,1976,1984,1953-10-02,University of South Carolina,Tom Boswell,2.1,99.8,23,31,F/C,F,22.6,18.0,18.0,81.8
Ruben Boumtje-Boumtje,2002,2004,1978-05-20,Georgetown University,Ruben Boumtjeboumtje,2.1,116.6,24,26,C,C,26.4,21.5,25.1,91.5
Don Boven,1950,1953,1925-03-06,Western Michigan University,Don Boven,1.9,95.3,25,28,F/G,F,26.4,21.9,20.9,74.4
Cal Bowdler,2000,2002,1977-03-31,Old Dominion University,Cal Bowdler,2.1,111.1,23,25,F,F,25.2,19.8,22.0,89.1
